一 eins
肺 Lunge
帯 Gurt
滞 stocken
刺 Stachel
制 System
製 herstellen
転 rotieren
芸 Kunst
雨 Regen
雲 Wolke
曇 bewölkt
雷 Donner
霜 Frost
冬 Winter
天 Himmel
橋 Brücke
嬌 attraktiv
立 stehen
泣 weinen
章 Abzeichen
競 konkurrieren
帝 Imperator
童 Knirps
瞳 Pupille
鐘 Glocke
商 Handel treiben
嫡 rechtmäßige Ehefrau
適 geeignet
滴 tropfen
敵 Feind
匕 Löffel
北 Norden
背 Statur
比 vergleichen
昆 Nachkomme
皆 alle
混 mischen
渇 Durst
謁 Audienz
褐 braun
喝 anbrüllen
旨 lecker
脂 Speck
壱 I. (eins)
毎 jedes Mal
敏 gewitzt
梅 Pflaume
海 Meer
乞 betteln
乾 Trockenheit
腹 Bauch
複 mehrfach
欠 Mangel
吹 blasen
炊 kochen
歌 Lied
軟 weich
次 Nächster
茨 Dornbusch
資 Kapital
姿 Figur
諮 zu Rate ziehen
賠 Entschädigung
培 kultivieren
剖 sezieren
音 Klang
暗 Dunkelheit
韻 Reim
識 Urteilsfähigkeit
鏡 Spiegel
境 Grenze
亡 verstorben
盲 blind
妄 Wahn
荒 verwüsten
望 Verlangen
方 Richtung
妨 hindern
坊 Junge
芳 wohlriechend
肪 verfetten
訪 besuchen
放 freilassen
激 heftig
脱 ausziehen
説 Auslegung
鋭 spitz
曽 zuvor
増 zunehmen
贈 Geschenk
東 Osten
棟 Firstbalken
凍 gefroren
妊 Empfängnis
廷 Gerichtshof
染 färben
燃 brennen
賓 Ehrengast
歳 Jahresende
県 Präfektur
栃 Rosskastanie
地 Grund
池 Teich
虫 Insekt
蛍 Glühwürmchen
蛇 Schlange
虹 Regenbogen
蝶 Schmetterling
独 allein
蚕 Seidenraupe
風 Wind
己 sich
起 aufwachen
妃 Königin
改 reformieren
記 notieren
包 einwickeln
胞 Plazenta
砲 Kanone
泡 Schaum
亀 Schildkröte
電 Elektrizität
竜 Drache
滝 Wasserfall
豚 Schwein
逐 vertreiben
遂 durchführen
