一 eins
絶 unterbrechen
艶 glänzend
肥 Dünger
甘 süß
紺 dunkelblau
某 soundso
謀 Intrige
媒 Vermittler
欺 Betrug
棋 Shogi
旗 Flagge
期 Periode
碁 Go
基 Fundament
甚 ungemein
勘 Intuition
堪 aushalten
貴 wertvoll
遺 hinterlassen
遣 schicken
舞 Reigen
無 nichts
組 Zusammensetzung
粗 rau
租 Zehnt
祖 Vorfahre
阻 vereiteln
査 untersuchen
助 helfen
宜 schöne Grüße
畳 Tatami-Matten
並 Reihe
普 universal
譜 Noten
湿 feucht
顕 offenkundig
繊 dünn
霊 geistlich
業 Gewerbe
撲 hauen
僕 meiner einer
共 zusammen
供 darbringen
異 ungewöhnlich
翼 Flügel
洪 Überschwemmung
港 Hafen
暴 toben
爆 explodieren
恭 respektvoll
選 Auslese
殿 Hr.
井 Brunnen
囲 umringen
耕 das Feld bestellen
亜 Asien
悪 schlecht
円 Kreis
角 Winkel
触 Kontakt
解 entwirren
再 wieder
講 Vorlesung
購 abonnieren
構 Haltung
溝 Rinnstein
論 Argument
倫 Ethik
輪 Rad
偏 parteiisch
遍 überall
編 Zusammenstellung
冊 Buchband
典 Kodex
氏 Familienname
紙 Papier
婚 Heirat
低 niedrig
抵 widerstehen
底 Boden
民 Volk
眠 schlafen
捕 fangen
浦 Bucht
蒲 Rohrkolben
舗 Geschäft
補 ergänzen
邸 Residenz
郭 Stadtviertel
郡 Landkreis
郊 Stadtrand
部 Abteilung
都 Metropole
郵 Post
邦 Vaterland
郷 Heimatort
響 hallen
郎 Sohn
廊 Korridor
盾 Schild
循 Kreislauf
派 Fraktion
脈 Ader
衆 Massen
逓 Kurierdienst
段 Stufe
鍛 schmieden
后 Kaiserin
幻 Trugbild
司 Direktor
伺 Höflichkeitsbesuch
詞 Wortart
飼 Tierhaltung
嗣 Erbe
舟 Boot
舶 Frachter
航 Seefahrt
般 allgemein
盤 Platte
搬 befördern
船 Schiff
艦 Kriegsschiff
艇 Kahn
瓜 Melone
弧 Kreisbogen
孤 Waise
繭 Kokon
益 Gewinn
暇 Freizeit
敷 ausbreiten
来 kommen
気 Geist
汽 Dampf
飛 fliegen
沈 sinken
妻 Ehefrau
衰 verfallen
衷 innig
面 Maske
革 Leder
靴 Schuhe
覇 Vorherrschaft
声 Stimme
呉 geben
娯 Erholung
誤 Fehler
蒸 Dunst
承 hinnehmen
函 Kasten
極 Pol
牙 Stoßzahn
芽 Knospe
邪 böse
雅 elegant
釈 Erklärung
番 dran
審 Vernehmung
翻 wenden
藩 Clan
毛 Fell
耗 verschleißen
尾 Schwanz
宅 Heim
託 anvertrauen
為 tun
偽 Falschheit
長 lang
張 spannen
帳 Notizbuch
脹 sich ausdehnen
髪 Haupthaar
展 entfalten
喪 vermissen
巣 Nest
単 einzeln
戦 Krieg
禅 Zen
弾 Gewehrkugel
桜 Kirschbaum
獣 Tier
脳 Gehirn
悩 plagen
厳 streng
鎖 Kette
挙 heben
誉 Ruhm
猟 Waid
鳥 Vogel
鳴 zwitschern
鶴 Kranich
烏 Krähe
蔦 Ranke
鳩 Taube
鶏 Huhn
島 Insel
暖 Wärme
媛 Maid
援 unterstützen
緩 lockern
属 zugehörig
嘱 beauftragen
偶 zufällig
遇 begegnen
愚 albern
隅 Ecke
逆 umgekehrt
塑 modellieren
岡 Anhöhe
鋼 Stahl
綱 das Tau
剛 unbeugsam
缶 Blechdose
陶 Töpferwaren
揺 schaukeln
謡 Noh-Gesang
就 bezüglich
懇 freundlich
墾 Landgewinnung
免 Befreiung
逸 abschweifen
晩 Abenddämmerung
勉 Fleiß
象 Elefant
像 Statue
馬 Pferd
駒 Pony
験 prüfen
騎 Reiter
駐 parken
駆 antreiben
駅 Bahnhof
騒 lärmen
駄 Lastpferd
驚 Erstaunen
篤 ernsthaft
騰 Anstieg
虎 Tiger
虜 Gefangener
膚 Haut
虚 inhaltslos
戯 spaßen
虞 Angst
慮 Besonnenheit
劇 Drama
虐 quälen
鹿 Reh
薦 empfehlen
慶 jauchzen
麗 hübsch
熊 Bär
能 Fähigkeit
態 Einstellung
寅 Zeichen des Tigers
演 aufführen
辰 Zeichen des Drachen
辱 entehren
震 beben
振 schütteln
娠 Schwangerschaft
唇 Lippe
農 Landwirtschaft
濃 konzentriert
送 senden
関 Zusammenhang
咲 blühen
鬼 Gespenst
醜 hässlich
魂 Seele
魔 Dämon
魅 Faszination
塊 Klumpen
襲 überfallen
嚇 abschrecken
朕 Pluralis Majestatis
雰 Atmosphäre
箇 Gegenstand
錬 härten
遵 befolgen
罷 aufhören
屯 Kaserne
且 überdies
藻 Seetang
隷 Sklave
癒 heilen
丹 Zinnober
潟 Lagune
丑 Zeichen des Ochsen
卯 Zeichen des Kaninchens
巳 Zeichen der Schlange
嘲 Hohn
肘 Ellenbogen
唄 Schlager
貼 aufkleben
呪 Fluch
妬 eifersüchtig
嗅 schnüffeln
腺 Drüse
汎 pan-
汰 aussortieren
沙 Sandkörner
填 einlegen
椅 Stuhl
羞 beschämen
璽 kaiserliches Siegel
麓 Fuß eines Berges
罵 Beleidigung
貌 Antlitz
蹴 kicken
鬱 Schwermut
遡 stromaufwärts ziehen
畏 scheu
眉 Augenbraue
麺 Nudeln
凄 verblüffend
枕 Kopfkissen
舷 Dollbord
那 Frage(-partikel)
哺 säugen
柵 Palisade
丼 Donburi
戴 demütig entgegennehmen
狙 zielen
潰 zu Schrott verarbeiten
斑 gesprenkelt
瞭 offensichtlich
痕 Narbe
嫉 missgünstig
痩 abmagern
瘍 Geschwür
腫 Tumor
辣 bitter
喉 Kehle
闇 düster
慄 schaudern
捻 zwirbeln
貪 gieren
唾 Speichel
僅 lediglich
蜂 Biene
醒 aufwecken
塞 aufstauen
骸 sterbliche Überreste
摯 umklammern
璧 durchtriebener Edelstein
頓 plötzlich
爽 erquickend
璃 Lapislazuli
刹 Moment
餅 Mochi
餌 Futter
藍 Indigo
蓋 Deckel
酎 Schnaps
毀 kaputt machen
臼 Mörser
瑠 azurblau
氾 weitreichend
鍋 Topf
湧 aufwallen
遜 anspruchslos
畿 Vororte der Hauptstadt
緻 minutiös
窟 Kaverne
隙 Spalt
踪 Fußspuren
捉 erwischen
釜 Kessel
阜 Bühl
頬 Wange
箸 Essstäbchen
顎 Kinn
溺 ertrinken
弥 immer mehr
挨 aufstoßen
拳 Faust
彙 Glossar
剥 schälen
斬 abschlagen
裾 Saum
尻 Gesäß
蔽 bedecken
膳 Esstischchen
挫 verstauchen
俺 icke
傲 Arroganz
伎 Bühnenkünstler
侶 Partner
籠 Käfig
箋 Briefpapier
膝 Knie
謎 Rätsel
萎 schlaff
稽 Übung
桁 Tragbalken
勃 sich aufrichten
腎 Niere
崖 Steilhang
冶 Metallurgie
勾 gekrümmt
曖 schummrig
采 sich schnappen
淫 lüstern
股 Schenkel
梗 zupropfen
弄 herumspielen mit
捗 vorankommen
拶 bevorstehen
拉 zerdrücken
拭 wegwischen
憬 schmachten
惧 bange
憧 Drang
臆 zagen
芯 Docht
恣 selbstsüchtig
咽 Gurgel
錮 verschweißen
誰 wer
椎 Scheinkastanie
堆 aufgetürmt
詣 einen Schrein besuchen
葛 Kudsu
諧 Einklang
楷 Blockschrift
頃 um die Zeit
匂 Aroma
叱 schimpfen
諦 aufgeben
沃 fruchtbar
妖 bestrickend
柿 Persimone
巾 Tuch
鍵 Schlüssel
蔑 herabsetzen
戚 Verwandte
訃 Todesanzeige
詮 erörtern
冥 Unterwelt
賂 Schmiergeld
煎 rösten
喩 Metapher
旺 munter
脊 Wirbelsäule
苛 Schikane
昧 unklar
玩 Spielzeug
綻 Zusammenbruch此 dies hier
柴 Reisig
些 ein bisschen
砦 Festung
髭 Bart
禽 Geflügel
檎 Apfel
憐 Mitleid
燐 Phosphor
麟 Kamelopard
鱗 Schuppen
奄 erstickend
庵 Klause
掩 tarnen
悛 Besserung
駿 bestes Pferd im Stall
峻 abschüssig
竣 fertigstellen
犀 Nashorn
皐 Mondmonat
畷 Reisfeld-Fußpfad
綴 Bindung
鎧 Ritterrüstung
凱 Triumph
呑 verschlingen
韮 Lauch
籤 Lotterie
懺 beichten
芻 Heu
雛 Küken
趨 hasten
尤 plausibel
厖 immens
或 ein gewisser
兎 Hase
也 est
巴 Komma-Muster
疋 Tierchen
菫 Veilchen
曼 Mandala
云 reden
莫 Du sollst (nicht)
而 zudem
倭 Yamato
侠 Ritterlichkeit
倦 überdrüssig
俄 abrupt
佃 ein Feld bebauen
仔 Jungtier
仇 Erzfeind
伽 Gesellschaft leisten
儲 Profit machen
僑 Auslands-
俱 gemeinsam
侃 freimütig
偲 im Gedenken
侭 so wie es ist
脩 Dörrfleisch
倅 Sohnemann
做 schaffen
冴 glasklar
凋 welken
凌 durchstehen
凛 schneidig
凧 Flugdrachen
凪 Flaute
夙 in aller Frühe
鳳 Phönix
剽 Bedrohung
劉 abschlachten
剃 rasieren
厭 einer Sache müde
雁 Wildgans
贋 Fälschung
厨 Küche
仄 andeuten
哨 Wachposten
咎 tadeln
囁 flüstern
喋 Geschwätz
嘩 Zank
噂 Gerücht
咳 husten
喧 Lärm
叩 heruntermachen
噓 Lüge
啄 picken
吠 bellen
吊 aufknüpfen
噛 kauen
叶 erfüllen
吻 Saugrüssel
吃 stottern
噺 Anekdote
噌 Miso
邑 Weiler
呆 sprachlos
埴 Lehm
坤 eingesessen
壕 Unterstand
垢 Dreck
坦 plan
埠 Kai
堰 Damm
堵 Geländer
嬰 Baby
姦 vergewaltigen
婢 Magd
婉 hold
娼 Hure
妓 Kurtisane
娃 Augenweide
姪 Nichte
嬬 Herrin
姥 Alte
姑 Schwiegermutter
姐 junge Dame
嬉 hocherfreut
孕 in anderen Umständen
孜 eifrig
宥 besänftigen
寓 Anspielung
宏 weitläufig
牢 Zuchthaus
宋 Song-Dynastie
宍 Wildbret
屠 schlachten
屁 Furz
屑 Abfall
屡 oft
屍 Leichnam
屏 Wandschirm
嵩 anwachsen
崚 Felsenkette
嶺 Bergkamm
嵌 einpassen
帖 Heft
幡 Banner
幟 Wimpel
庖 Hackebeil
廓 Rotlichtviertel
庇 Vordach
鷹 Falke
庄 Posemuckel
廟 heiliges Grab
彊 robust
弛 erschlaffen
粥 Reisgrütze
挽 mahlen
撞 anstupsen
扮 sich verkleiden
捏 fingieren
掴 packen
捺 stempeln
掻 kratzen
撰 Kollektion
揃 vervollständigen
捌 sich auseinandersetzen mit
按 Hand auflegen
播 säen
揖 zusammenbringen
托 Untertasse
捧 weihen
撚 verzwirnen
挺 K(n)arren
擾 Tumult
撫 Liebkosen
撒 versprengen
擢 überragend
摺 zerreiben
捷 Obsiegen
抉 aufstemmen
怯 zurückschrecken
惟 sinnieren
惚 verknallt
怜 gescheit
惇 entgegenkommend
恰 gleichsam
恢 vergrößern
悌 das Alter ehren
澪 Fahrrinne
洸 glitzern
滉 weit wie das Meer
漱 gurgeln
洲 Kontinent
洵 wahrhaftig
滲 sickern
洒 besprengen
沐 gebadet werden
泪 Zähre
渾 sprudeln
涜 schänden
梁 Querbalken
澱 Bodensatz
洛 Alt-Kioto
" Ihro Gnaden
漉 seihen
瀕 am Rande
濠 Burggraben
溌 sprühend
湊 Port
淋 Verlassenheit
浩 in Hülle und Fülle
汀 Waterkant
鴻 großer Vogel
潅 eingießen
溢 überfließen
湛 randvoll
淳 unbefleckt
渥 getränkt
灘 blanker Hans
汲 Wasser schöpfen
瀞 Flussuntiefe
溜 Sammelpunkt
渕 Abgrund
沌 Chaos
濾 Filter
濡 durchnässt
淀 Stauung
涅 Schwarzerde
斧 Beil
爺 Opa
猾 listig
猥 obszön
狡 verschlagen
狸 Marderhund
狼 Wolf
狽 aus der Fassung
狗 Welpe
狐 Fuchs
狛 A-Un
獅 Löwe
狒 Pavian
莨 Tabak
茉 Jasmin
莉 Sambac
苺 Erdbeere
萩 Buschklee
藝 Kunstfertigkeit [alt]
薙 niedermähen
蓑 Regenmantel aus Stroh
苔 Moos
蕩 ausschweifend
蔓 Rebe
蓮 Lotos
芙 Lotosblume
蓉 Lotosblüte
蘭 Orchidee
芦 Ried
薯 Jams
菖 Irislilie
蕉 Banane
蕎 Buchweizen
蕗 Pestwurz
茄 Aubergine
蔭 hinter den Kulissen
蓬 Beifuß
芥 Senf
萌 sprießen
葡 Weintraube
蘇 wiederauferstehen
蕃 Wildwuchs
苓 Kraut
菰 Strohmatte
蒙 im Dunkeln tappen
茅 Stielblütengras
芭 Platane
苅 sensen
葱 Zwiebel
葵 Malve
葺 Dachschindeln
蕊 Blütenstempel
茸 Pilz
蒔 Saat
芹 Petersilie
苫 Schilfmatte
蒼 blassblau
藁 Stroh
蕪 Rübe
藷 Süßkartoffel
薮 Kurpfuscher
蒜 Knoblauch
蕨 Farnkraut
蔚 opulent wachsen
茜 Krapprot
莞 Teichbinse
蒐 Sammler
菅 Segge
葦 Schilfrohr
迪 der Weg
辿 nachgehen
這 kriechen
迂 Umgehung
遁 Ausflucht
逢 Stelldichein
遥 weite Ferne
遼 weit weg
逼 in die Enge treiben
迄 bis
逗 stehen bleiben
鄭 Zheng-Kultur
隕 Meteor
隈 Ecken und Winkel
憑 Besessenheit
惹 hingezogen
悉 ausnahmslos
忽 im Nu
惣 Erstgeborener
愈 endlich
恕 großmütig
昴 Pleiaden
晋 voranschreiten
晟 klarer
暈 Strahlenkranz
暉 Strahlen aussenden
旱 Dürre
晏 Abendstille
晨 Morgengrauen
晒 bleichen
晃 ungetrübt
曝 lüften
曙 Morgenröte
昂 gehoben
昏 Abendröte
晦 Monatsletzter
膿 Eiter
腑 Gekröse
胱 Harnblase
胚 Embryo
肛 Anus
脆 zerbrechlich
肋 Rippe
腔 Körperhöhle
肱 Unterarm
" unzivilisiert
楓 Ahorn
楊 Purpurweide
椋 asiatische Ulme
榛 Haselstrauch
櫛 Kamm
槌 Holzhammer
樵 Holzfäller
梯 Leiter
柑 Zitrusbaum
杭 Pflock
柊 Stechpalme
柚 Zitron
椀 Holzschale
栂 Hemlocktanne
柾 Spindelbaum
榊 heiliger Baum
樫 immergrüne Eiche
槙 Steineibe
楢 japanische Eiche
橘 Wildmandarine
桧 japanische Zypresse
棲 hausen
栖 Unterschlupf
桔 chinesische Glockenblume
杜 Tempelhain
杷 Getreiderechen
梶 Paddel
杵 Holzstößel
杖 Gehstock
樽 Fass
櫓 Holzturm
橿 japanische Blaueiche
杓 Schöpflöffel
李 Zwetschge
棉 Rohbaumwolle
楯 Faustschild
榎 chinesischer Zürgelbaum
樺 Birke
槍 Lanze
柘 Buchsbaum
梱 Ballen
枇 japanische Mispel
樋 Fallrohr
橇 Schlitten
槃 Nirvana
栞 Lesezeichen
椰 Kokospalme
檀 Sandelbaum
樗 Zedrachbaum
槻 japanische Zelkove
椙 japanische Zeder
彬 strahlend schön
桶 Eimer
楕 Ellipse
樒 Sternanis
毬 Distel
燿 funkeln
燎 Leuchtfeuer
炬 Fackel
焚 entfachen
灸 Moxa
煽 anfachen
煤 Ruß
煉 veredeln
燦 blendend
灼 wundersam glühend
烙 Brandzeichen
焔 Flamme
烹 schmoren
牽 zerren
牝 Weibchen
牡 Männchen
琳 Klingeln
琉 Lasurit
瑳 wienern
琢 den letzten Schliff geben
珊 Koralle
瑚 Korallenriff
瑞 gutes Omen
玖 Gagat
瑛 Quarz
玲 Klimpern
畢 letzten Endes
畦 Rücken einer Reisfeldfurche
痒 jucken
痰 Schleim
疹 Masern
痔 Hämorrhoiden
癌 Krebs
痺 Lähmung
眸 Iris
眩 schwindelig
雉 Fasan
矩 Winkelmaß
磐 Kliff
碇 Wurfanker
碧 blaugrün
硯 Tuschenstein
砥 Schleifstein
碗 Teeschale
碍 Hindernis
碩 erhaben
磯 Felsenstrand
砺 Wetzstein
碓 Mühlstein
禦 etwas zurückschlagen
祷 anflehen
祐 himmlische Hife
祇 örtliche Gottheit
祢 Schrein der Vorfahren
禄 Besoldung
禎 Segenswunsch
秤 Balkenwaage
黍 Hirse
禿 kahl
稔 Frucht tragen
稗 Dallisgras
穣 reiche Ernte
稜 kaiserliche Amtsgewalt
稀 spärlich
穆 huldvoll
窺 lugen
窄 verengen
穿 bohren
竃 Küchenofen
竪 Lang-
" rauschend
站 Außenstelle
靖 friedvoll
衿 Revers
袷 gefütterter Kimono
袴 japanische Rockhose
襖 Schiebetür
笙 chinesische Panflöte
筏 Floß
簾 Bambusjalousie
箪 Bambusschachtel
竿 Stab
箆 Spachtel
箔 Folie
笥 Kommode
箭 Pfeil
筑 altertümliche Harfe
篠 Zwergbambus
纂 Kompilation
竺 Bambusrohr
箕 Worfelplatte
篇 Buchwerdung
筈 sollte
簸 worfeln
粕 Treber
糟 Trub
糊 Klebe
籾 ungeschälter Reis
糠 Reiskleie
糞 Kot
粟 Kolbenhirse
繋 Verbindung
綸 Seidenfaden
絨 Teppichstoff
絆 Bindungen
妾 Konkubine
緋 Scharlachrot
綜 Synthese
紐 Schnur
紘 Weite
纏 Zusammenfassung
絢 prächtig
繍 Stickerei
紬 Pongé
綺 Ornamentstoff
綾 Damast
絃 Saite
縞 Streifen
綬 Litze
紗 Gaze
舵 Steuerruder
聯 Verkupplung
聡 aufgeweckt
聘 Ruf
耽 etwas verfallen sein
耶 Ausruf
蚤 Floh
蟹 Krabbe
蛋 Eiweiß
蟄 Winterschlaf
蝿 Fliege
蟻 Ameise
蝋 Wachs
蝦 Garnele
蛸 Oktopus
螺 Schraube
蝉 Zikade
蛙 Frosch
蛾 Motte
蛤 Venusmuschel
蛭 Egel
蛎 Auster
罫 Liniierung
袈 Stola
裟 Mönchsschärpe
截 Einschnitt
哉 Ich frage mich
詢 Beratung
諄 wortreich
讐 Rachefeldzug
諌 protestieren
諒 verstehen
讃 Lobpreis
訊 befragen
訣 Trennung
詫 Abbitte leisten
誼 Freundschaft
謬 Irrtum
訝 argwöhnen
諺 Sprichwort
誹 Verleumdung
謂 sogenannt
諜 Spion
註 Anmerkung
譬 Gleichnis
轟 Dröhnen
輔 Verstärkung
輻 Speiche
輯 Sammlung
豹 Panther
賎 jämmerlich
貰 bekommen
賑 lebhaft
贖 sühnen
躓 stolpern
蹄 Huf
蹟 Überbleibsel
跨 überbrücken
跪 knien
醬 Sojasauce
醍 Molke
醐 Ghee
醇 reiner Sake
麹 Malz
釦 Knopf
銚 Karaffe
鋤 Pflug
鋸 Säge
錐 Ahle
鍬 Hacke
鋲 Niete
錫 Zinn
錨 Anker
釘 Nagel
鑓 Speer
鋒 Schwertspitze
鎚 Hammer
鉦 Glockenspiel
錆 Rost
鍾 Häufung
鋏 Schere
閃 Blitz
悶 Pein
閤 Nebentor
雫 tröpfeln
霞 diesig
翰 Federkiel
斡 Schirmherrschaft
鞍 Sattel
鞭 Peitsche
鞘 Schwertscheide
鞄 Aktentasche
靭 biegsam
鞠 Ball(-spiel)
顛 Sturz
穎 Granne
頗 höchst
頌 Lobgesang
頚 Nacken
餐 Mahl
饗 Schmaus
蝕 Eklipse
飴 Bonbon
駕 Trage
騨 Schecke
馳 in Eile
騙 täuschen
馴 zahm
駁 widersprechen
駈 galoppieren
驢 Esel
鰻 Aal
鯛 Meerbrasse
鰯 Sardine
鱒 Forelle
鮭 Lachs
鮪 Thunfisch
鮎 Ayu
鯵 Rossmakrele
鱈 Kabeljau
鯖 Makrele
鮫 Hai
鰹 Bonito
鰍 japanische Groppe
鰐 Krokodil
鮒 Karausche
鮨 Sushi
鰭 Flosse
鴎 Möwe
鵬 Rokh
鸚 Sittich
鵡 Papagei
鵜 Kormoran
鷺 Reiher
鷲 Adler
鴨 Wildente
鳶 Milan
梟 Eule
塵 Staub
麒 Giraffe
舅 Schwiegervater
鼠 Maus
鑿 Meißel
艘 Bötchen
瞑 die Augen schließen
暝 obskur
坐 Schneidersitz
朔 Monatserster
曳 trecken
洩 aussickern
彗 Komet
慧 scharfsinnig
爾 Lass gut sein
嘉 applaudieren
兇 Gräuel
兜 Helm
靄 Sprühnebel
劫 Kalpa
歎 wehklagen
輿 Sänfte
歪 verzerrt
翠 jadegrün
黛 Kajal
鼎 Dreibein
鹵 Steinsalz
鹼 Lauge
虔 fromm
燕 Schwalbe
嘗 lecken
殆 fast
牌 Mah-Jongg-Stein
覗 gucken
齟 nicht übereinstimmen
齬 Diskrepanz
秦 Mandschu-Dynastie
雀 Spatz
隼 Wanderfalke
耀 schimmern
" Ebisu
嚢 Zyste
暢 sorglos
廻 kreisen
欣 Hochgefühl
毅 standhaft
斯 dies
匙 Holzlöffel
匡 berichtigen
肇 Gründung
麿 Utamaro
叢 Geflecht
肴 Appetithappen
斐 symmetrisch gemustert
卿 Staatsminister
翫 herumdaddeln mit
於 hinsichtlich
套 abgenutzt
叛 Aufstand
尖 Spitze
壷 Pott
叡 Intellekt
酋 Häuptling
鴬 Nachtigall
赫 glorreich
臥 liegend
甥 Neffe
瓢 Flaschenkürbis
琵 Biwa
琶 Laute
叉 Gabelung
乖 missachten
畠 Trockenfeld
圃 Beet
丞 Helfer
亮 durchscheinend
胤 Blutsverwandter
疏 Niederschrift
膏 Salbung
魁 Pionier
馨 ambrosisch
牒 Marke
瞥 flüchtiger Blick
睾 Hoden
巫 Beschwörerin
敦 einfühlsam
奎 Andromeda
翔 am Himmel seine Bahnen ziehen
皓 strahlen
黎 dämmrig
赳 verwegen
已 abbrechen
棘 Dornenstrauch
祟 heimsuchen
甦 wiederbeleben
剪 beschneiden
躾 Ausbildung
夥 unermesslich
" schnarchen
陀 jäh ansteigend
粁 Kilometer
糎 Zentimeter
粍 Millimeter
噸 Tonne
哩 Meile
浬 Seemeile
吋 Zoll
呎 Fuß
梵 Brahman
薩 Bodhisattva
菩 Bo-Baum
唖 stumm
牟 Muh
迦 Sanskrit-Ka
珈 verzierte Haarnadel
琲 Perlenschnur
檜 japanische Zypresse [alt]
轡 Trense
淵 Abgrund [alt]
伍 V
什 X
萬 zehntausend
" Überflieger
燭 Kerzenlicht
" stämmig
燈 Lampe [alt]
裡 Rückseite [alt]
薗 Park [alt]
鋪 Laden [alternativ]
嶋 Insel [alternativ]
峯 Gipfel [alternativ]
埜 Feldflur [alt]
龍 Drache
寵 Protektion
聾 Taubheit
慾 begehren [alt]
嶽 Bergspitze [alt]
國 Land [alt]
脛 Unterschenkel
勁 formidabel
" vergöttern
祓 Austreibung
躇 zaudern
壽 Langlebigkeit [alt]
躊 zögern
饅 Hefekloß
嘔 erbrechen
鼈 chinesische Weichschildkröte
